array_type,time,element_size
geo, 0.005186, 200000
base, 0.000006, 400000
mono, 0.010233, 400000
sliced, 0.011916, 400000
SQ, 0.011249, 400000
HAT, 0.012524, 400000
MSarray_2, 0.013820, 400000
MSarray_3, 0.014473, 400000
MSarray_4, 0.015522, 400000
geo, 0.010638, 400000
base, 0.000006, 1000000
mono, 0.024034, 1000000
sliced, 0.027285, 1000000
SQ, 0.025342, 1000000
HAT, 0.025390, 1000000
MSarray_2, 0.026019, 1000000
MSarray_3, 0.018938, 1000000
MSarray_4, 0.032334, 1000000
geo, 0.023108, 1000000
base, 0.000006, 100
mono, 0.000012, 100
sliced, 0.000017, 100
SQ, 0.000022, 100
HAT, 0.000018, 100
MSarray_2, 0.000020, 100
MSarray_3, 0.000014, 100
MSarray_4, 0.000014, 100
geo, 0.000013, 100
base, 0.000006, 200
mono, 0.000007, 200
sliced, 0.000022, 200
SQ, 0.000022, 200
HAT, 0.000016, 200
MSarray_2, 0.000031, 200
MSarray_3, 0.000021, 200
MSarray_4, 0.000022, 200
geo, 0.000010, 200
base, 0.000009, 400
mono, 0.000019, 400
sliced, 0.000032, 400
SQ, 0.000033, 400
HAT, 0.000032, 400
MSarray_2, 0.000035, 400
MSarray_3, 0.000031, 400
MSarray_4, 0.000024, 400
geo, 0.000011, 400
base, 0.000008, 1000
mono, 0.000043, 1000
sliced, 0.000045, 1000
SQ, 0.000044, 1000
HAT, 0.000044, 1000
MSarray_2, 0.000051, 1000
MSarray_3, 0.000072, 1000
MSarray_4, 0.000075, 1000
geo, 0.000037, 1000
base, 0.000008, 2000
mono, 0.000066, 2000
sliced, 0.000082, 2000
SQ, 0.000060, 2000
HAT, 0.000094, 2000
MSarray_2, 0.000112, 2000
MSarray_3, 0.000121, 2000
MSarray_4, 0.000140, 2000
geo, 0.000050, 2000
base, 0.000008, 4000
mono, 0.000152, 4000
sliced, 0.000168, 4000
SQ, 0.000132, 4000
HAT, 0.000178, 4000
MSarray_2, 0.000192, 4000
MSarray_3, 0.000212, 4000
MSarray_4, 0.000205, 4000
geo, 0.000139, 4000
base, 0.000004, 10000
mono, 0.000327, 10000
sliced, 0.000370, 10000
SQ, 0.000340, 10000
HAT, 0.000383, 10000
MSarray_2, 0.000469, 10000
MSarray_3, 0.000547, 10000
MSarray_4, 0.000516, 10000
geo, 0.000320, 10000
base, 0.000007, 20000
mono, 0.000564, 20000
sliced, 0.000713, 20000
SQ, 0.000648, 20000
HAT, 0.000861, 20000
MSarray_2, 0.000905, 20000
MSarray_3, 0.001052, 20000
MSarray_4, 0.001141, 20000
geo, 0.000612, 20000
base, 0.000009, 40000
mono, 0.001089, 40000
sliced, 0.001507, 40000
SQ, 0.001261, 40000
HAT, 0.001417, 40000
MSarray_2, 0.001656, 40000
MSarray_3, 0.002215, 40000
MSarray_4, 0.002219, 40000
geo, 0.001141, 40000
base, 0.000010, 100000
mono, 0.002716, 100000
sliced, 0.003765, 100000
SQ, 0.002577, 100000
HAT, 0.003405, 100000
MSarray_2, 0.003804, 100000
MSarray_3, 0.004286, 100000
MSarray_4, 0.005164, 100000
geo, 0.002626, 100000
base, 0.000011, 200000
mono, 0.004822, 200000
sliced, 0.004638, 200000
SQ, 0.005386, 200000
HAT, 0.004251, 200000
MSarray_2, 0.006965, 200000
MSarray_3, 0.007111, 200000
MSarray_4, 0.009552, 200000
geo, 0.005437, 200000
base, 0.000008, 400000
mono, 0.008738, 400000
sliced, 0.009344, 400000
SQ, 0.011490, 400000
HAT, 0.012267, 400000
MSarray_2, 0.013108, 400000
MSarray_3, 0.015792, 400000
MSarray_4, 0.015647, 400000
geo, 0.011222, 400000
base, 0.000006, 1000000
mono, 0.024068, 1000000
sliced, 0.027323, 1000000
SQ, 0.024504, 1000000
HAT, 0.026550, 1000000
MSarray_2, 0.027119, 1000000
MSarray_3, 0.030694, 1000000
MSarray_4, 0.032302, 1000000
geo, 0.024977, 1000000
base, 0.000004, 100
mono, 0.000006, 100
sliced, 0.000016, 100
SQ, 0.000021, 100
HAT, 0.000016, 100
MSarray_2, 0.000022, 100
MSarray_3, 0.000013, 100
MSarray_4, 0.000014, 100
geo, 0.000011, 100
base, 0.000007, 200
mono, 0.000015, 200
sliced, 0.000022, 200
SQ, 0.000025, 200
HAT, 0.000018, 200
MSarray_2, 0.000022, 200
MSarray_3, 0.000018, 200
MSarray_4, 0.000021, 200
geo, 0.000005, 200
base, 0.000007, 400
mono, 0.000014, 400
sliced, 0.000025, 400
SQ, 0.000026, 400
HAT, 0.000031, 400
MSarray_2, 0.000036, 400
MSarray_3, 0.000087, 400
MSarray_4, 0.000025, 400
geo, 0.000013, 400
base, 0.000010, 1000
mono, 0.000026, 1000
sliced, 0.000048, 1000
SQ, 0.000050, 1000
HAT, 0.000048, 1000
MSarray_2, 0.000063, 1000
MSarray_3, 0.000073, 1000
MSarray_4, 0.000099, 1000
geo, 0.000044, 1000
base, 0.000008, 2000
mono, 0.000063, 2000
sliced, 0.000088, 2000
SQ, 0.000097, 2000
HAT, 0.000077, 2000
MSarray_2, 0.000149, 2000
MSarray_3, 0.000100, 2000
MSarray_4, 0.000165, 2000
geo, 0.000067, 2000
base, 0.000011, 4000
mono, 0.000135, 4000
sliced, 0.000123, 4000
SQ, 0.000160, 4000
HAT, 0.000172, 4000
MSarray_2, 0.000156, 4000
MSarray_3, 0.000223, 4000
MSarray_4, 0.000251, 4000
geo, 0.000158, 4000
base, 0.000009, 10000
mono, 0.000326, 10000
sliced, 0.000357, 10000
SQ, 0.000340, 10000
HAT, 0.000318, 10000
MSarray_2, 0.000501, 10000
MSarray_3, 0.000422, 10000
MSarray_4, 0.000646, 10000
geo, 0.000341, 10000
base, 0.000009, 20000
mono, 0.000506, 20000
sliced, 0.000672, 20000
SQ, 0.000602, 20000
HAT, 0.000709, 20000
MSarray_2, 0.000829, 20000
MSarray_3, 0.000936, 20000
MSarray_4, 0.001086, 20000
geo, 0.000559, 20000
base, 0.000007, 40000
mono, 0.001061, 40000
sliced, 0.001329, 40000
SQ, 0.001174, 40000
HAT, 0.001313, 40000
MSarray_2, 0.001487, 40000
MSarray_3, 0.002009, 40000
MSarray_4, 0.002052, 40000
geo, 0.001077, 40000
base, 0.000010, 100000
mono, 0.002382, 100000
sliced, 0.002663, 100000
SQ, 0.002712, 100000
HAT, 0.003261, 100000
MSarray_2, 0.003234, 100000
MSarray_3, 0.003229, 100000
MSarray_4, 0.004372, 100000
geo, 0.002500, 100000
base, 0.000010, 200000
mono, 0.004382, 200000
sliced, 0.005996, 200000
SQ, 0.005139, 200000
HAT, 0.004845, 200000
MSarray_2, 0.006183, 200000
MSarray_3, 0.006640, 200000
MSarray_4, 0.008647, 200000
geo, 0.004205, 200000
base, 0.000005, 400000
mono, 0.010395, 400000
sliced, 0.012402, 400000
SQ, 0.011295, 400000
HAT, 0.013054, 400000
MSarray_2, 0.013868, 400000
MSarray_3, 0.015922, 400000
MSarray_4, 0.015718, 400000
geo, 0.010861, 400000
base, 0.000008, 1000000
mono, 0.024603, 1000000
sliced, 0.026828, 1000000
