array_type,time,element_size
MSarray_4, 0.125619, 1024, 549770476255
base, 0.059706, 2048, 549770476255
mono, 0.082694, 2048, 549770476255
sliced, 0.073950, 2048, 549770476255
SQ, 0.075404, 2048, 549770476255
HAT, 0.070491, 2048, 549770476255
MSarray_2, 0.104775, 2048, 549770476255
MSarray_3, 0.140136, 2048, 549770476255
MSarray_4, 0.219073, 2048, 549770476255
base, 0.022748, 128, 549770476255
mono, 0.027798, 128, 549770476255
sliced, 0.036927, 128, 549770476255
SQ, 0.041720, 128, 549770476255
HAT, 0.033450, 128, 549770476255
MSarray_2, 0.046120, 128, 549770476255
MSarray_3, 0.045373, 128, 549770476255
MSarray_4, 0.051171, 128, 549770476255
base, 0.026742, 256, 549770476255
mono, 0.030095, 256, 549770476255
sliced, 0.039919, 256, 549770476255
SQ, 0.044649, 256, 549770476255
HAT, 0.036089, 256, 549770476255
MSarray_2, 0.054680, 256, 549770476255
MSarray_3, 0.048463, 256, 549770476255
MSarray_4, 0.060961, 256, 549770476255
base, 0.030799, 512, 549770476255
mono, 0.040372, 512, 549770476255
sliced, 0.051256, 512, 549770476255
SQ, 0.054779, 512, 549770476255
HAT, 0.043061, 512, 549770476255
MSarray_2, 0.064280, 512, 549770476255
MSarray_3, 0.064985, 512, 549770476255
MSarray_4, 0.083694, 512, 549770476255
base, 0.045812, 1024, 549770476255
mono, 0.049190, 1024, 549770476255
sliced, 0.061315, 1024, 549770476255
SQ, 0.061680, 1024, 549770476255
HAT, 0.054036, 1024, 549770476255
MSarray_2, 0.073762, 1024, 549770476255
MSarray_3, 0.101611, 1024, 549770476255
MSarray_4, 0.126411, 1024, 549770476255
base, 0.062341, 2048, 549770476255
mono, 0.068813, 2048, 549770476255
sliced, 0.072727, 2048, 549770476255
SQ, 0.075442, 2048, 549770476255
HAT, 0.083597, 2048, 549770476255
MSarray_2, 0.104216, 2048, 549770476255
MSarray_3, 0.140317, 2048, 549770476255
MSarray_4, 0.224511, 2048, 549770476255
base, 0.024256, 128, 549770476255
mono, 0.027569, 128, 549770476255
sliced, 0.036128, 128, 549770476255
SQ, 0.043168, 128, 549770476255
HAT, 0.033133, 128, 549770476255
MSarray_2, 0.047253, 128, 549770476255
MSarray_3, 0.044462, 128, 549770476255
MSarray_4, 0.050372, 128, 549770476255
base, 0.026405, 256, 549770476255
mono, 0.028624, 256, 549770476255
sliced, 0.048139, 256, 549770476255
SQ, 0.046602, 256, 549770476255
HAT, 0.035836, 256, 549770476255
MSarray_2, 0.052827, 256, 549770476255
MSarray_3, 0.049802, 256, 549770476255
MSarray_4, 0.060858, 256, 549770476255
base, 0.039581, 512, 549770476255
mono, 0.039848, 512, 549770476255
sliced, 0.061760, 512, 549770476255
SQ, 0.059268, 512, 549770476255
HAT, 0.069107, 512, 549770476255
MSarray_2, 0.064747, 512, 549770476255
MSarray_3, 0.063158, 512, 549770476255
MSarray_4, 0.084445, 512, 549770476255
base, 0.045837, 1024, 549770476255
mono, 0.049248, 1024, 549770476255
sliced, 0.060382, 1024, 549770476255
SQ, 0.067929, 1024, 549770476255
HAT, 0.058300, 1024, 549770476255
MSarray_2, 0.077683, 1024, 549770476255
MSarray_3, 0.097387, 1024, 549770476255
MSarray_4, 0.117967, 1024, 549770476255
base, 0.057055, 2048, 549770476255
mono, 0.059358, 2048, 549770476255
sliced, 0.070153, 2048, 549770476255
SQ, 0.075890, 2048, 549770476255
HAT, 0.072999, 2048, 549770476255
MSarray_2, 0.108785, 2048, 549770476255
MSarray_3, 0.144589, 2048, 549770476255
MSarray_4, 0.242830, 2048, 549770476255
base, 0.024300, 128, 549770476255
mono, 0.027199, 128, 549770476255
sliced, 0.037012, 128, 549770476255
SQ, 0.043623, 128, 549770476255
HAT, 0.033275, 128, 549770476255
MSarray_2, 0.047230, 128, 549770476255
MSarray_3, 0.045792, 128, 549770476255
MSarray_4, 0.052555, 128, 549770476255
base, 0.026080, 256, 549770476255
mono, 0.029891, 256, 549770476255
sliced, 0.063477, 256, 549770476255
SQ, 0.067002, 256, 549770476255
HAT, 0.056903, 256, 549770476255
MSarray_2, 0.054710, 256, 549770476255
MSarray_3, 0.048740, 256, 549770476255
MSarray_4, 0.062121, 256, 549770476255
base, 0.032498, 512, 549770476255
mono, 0.053326, 512, 549770476255
sliced, 0.051122, 512, 549770476255
SQ, 0.052831, 512, 549770476255
HAT, 0.041666, 512, 549770476255
MSarray_2, 0.059179, 512, 549770476255
MSarray_3, 0.060079, 512, 549770476255
MSarray_4, 0.080480, 512, 549770476255
base, 0.043060, 1024, 549770476255
mono, 0.043917, 1024, 549770476255
sliced, 0.051446, 1024, 549770476255
SQ, 0.057882, 1024, 549770476255
HAT, 0.052532, 1024, 549770476255
MSarray_2, 0.079814, 1024, 549770476255
MSarray_3, 0.093965, 1024, 549770476255
MSarray_4, 0.135972, 1024, 549770476255
base, 0.062090, 2048, 549770476255
mono, 0.060317, 2048, 549770476255
sliced, 0.073212, 2048, 549770476255
SQ, 0.076837, 2048, 549770476255
HAT, 0.071333, 2048, 549770476255
MSarray_2, 0.103627, 2048, 549770476255
MSarray_3, 0.139643, 2048, 549770476255
MSarray_4, 0.241767, 2048, 549770476255
base, 0.025304, 128, 549770476255
mono, 0.028129, 128, 549770476255
sliced, 0.036303, 128, 549770476255
SQ, 0.044806, 128, 549770476255
HAT, 0.032438, 128, 549770476255
MSarray_2, 0.047023, 128, 549770476255
MSarray_3, 0.044405, 128, 549770476255
MSarray_4, 0.051103, 128, 549770476255
base, 0.025335, 256, 549770476255
mono, 0.033440, 256, 549770476255
sliced, 0.040332, 256, 549770476255
SQ, 0.043369, 256, 549770476255
HAT, 0.035864, 256, 549770476255
MSarray_2, 0.053448, 256, 549770476255
MSarray_3, 0.048723, 256, 549770476255
MSarray_4, 0.060676, 256, 549770476255
base, 0.029976, 512, 549770476255
mono, 0.036909, 512, 549770476255
sliced, 0.045408, 512, 549770476255
SQ, 0.050167, 512, 549770476255
HAT, 0.042003, 512, 549770476255
MSarray_2, 0.060552, 512, 549770476255
MSarray_3, 0.064250, 512, 549770476255
MSarray_4, 0.083127, 512, 549770476255
base, 0.041363, 1024, 549770476255
mono, 0.048338, 1024, 549770476255
sliced, 0.053420, 1024, 549770476255
SQ, 0.064886, 1024, 549770476255
HAT, 0.057479, 1024, 549770476255
MSarray_2, 0.077241, 1024, 549770476255
MSarray_3, 0.095707, 1024, 549770476255
MSarray_4, 0.115972, 1024, 549770476255
base, 0.066309, 2048, 549770476255
mono, 0.059878, 2048, 549770476255
sliced, 0.072416, 2048, 549770476255
SQ, 0.091836, 2048, 549770476255
HAT, 0.070999, 2048, 549770476255
MSarray_2, 0.104614, 2048, 549770476255
MSarray_3, 0.139577, 2048, 549770476255
MSarray_4, 0.241597, 2048, 549770476255
base, 0.023053, 128, 549770476255
mono, 0.027292, 128, 549770476255
sliced, 0.036978, 128, 549770476255
SQ, 0.042251, 128, 549770476255
HAT, 0.032366, 128, 549770476255
MSarray_2, 0.047121, 128, 549770476255
MSarray_3, 0.044338, 128, 549770476255
MSarray_4, 0.051086, 128, 549770476255
base, 0.028725, 256, 549770476255
mono, 0.031912, 256, 549770476255
sliced, 0.040722, 256, 549770476255
SQ, 0.044814, 256, 549770476255
HAT, 0.035411, 256, 549770476255
MSarray_2, 0.051248, 256, 549770476255
MSarray_3, 0.050694, 256, 549770476255
MSarray_4, 0.056929, 256, 549770476255
base, 0.030408, 512, 549770476255
mono, 0.036600, 512, 549770476255
sliced, 0.044980, 512, 549770476255
SQ, 0.052270, 512, 549770476255
HAT, 0.043200, 512, 549770476255
MSarray_2, 0.063695, 512, 549770476255
MSarray_3, 0.064719, 512, 549770476255
MSarray_4, 0.080365, 512, 549770476255
base, 0.040561, 1024, 549770476255
mono, 0.047839, 1024, 549770476255
sliced, 0.058554, 1024, 549770476255
SQ, 0.063081, 1024, 549770476255
HAT, 0.053268, 1024, 549770476255
MSarray_2, 0.074579, 1024, 549770476255
MSarray_3, 0.100294, 1024, 549770476255
MSarray_4, 0.117691, 1024, 549770476255
base, 0.063336, 2048, 549770476255
mono, 0.063579, 2048, 549770476255
sliced, 0.070306, 2048, 549770476255
SQ, 0.075180, 2048, 549770476255
HAT, 0.080210, 2048, 549770476255
MSarray_2, 0.103072, 2048, 549770476255
MSarray_3, 0.137455, 2048, 549770476255
MSarray_4, 0.245645, 2048, 549770476255
base, 0.024693, 128, 549770476255
mono, 0.026079, 128, 549770476255
sliced, 0.039440, 128, 549770476255
SQ, 0.044374, 128, 549770476255
HAT, 0.033021, 128, 549770476255
MSarray_2, 0.047624, 128, 549770476255
MSarray_3, 0.047447, 128, 549770476255
MSarray_4, 0.051329, 128, 549770476255
base, 0.026005, 256, 549770476255
mono, 0.029475, 256, 549770476255
sliced, 0.039853, 256, 549770476255
SQ, 0.044115, 256, 549770476255
HAT, 0.035808, 256, 549770476255
MSarray_2, 0.050881, 256, 549770476255
MSarray_3, 0.049371, 256, 549770476255
MSarray_4, 0.058212, 256, 549770476255
base, 0.030889, 512, 549770476255
mono, 0.036513, 512, 549770476255
sliced, 0.044472, 512, 549770476255
SQ, 0.052355, 512, 549770476255
HAT, 0.042045, 512, 549770476255
MSarray_2, 0.059828, 512, 549770476255
MSarray_3, 0.060031, 512, 549770476255
MSarray_4, 0.081922, 512, 549770476255
base, 0.043729, 1024, 549770476255
mono, 0.043511, 1024, 549770476255
sliced, 0.050957, 1024, 549770476255
SQ, 0.058424, 1024, 549770476255
HAT, 0.052392, 1024, 549770476255
MSarray_2, 0.080519, 1024, 549770476255
MSarray_3, 0.096440, 1024, 549770476255
MSarray_4, 0.132431, 1024, 549770476255
base, 0.061628, 2048, 549770476255
mono, 0.059516, 2048, 549770476255
sliced, 0.072904, 2048, 549770476255
SQ, 0.076122, 2048, 549770476255
HAT, 0.072326, 2048, 549770476255
MSarray_2, 0.107896, 2048, 549770476255
MSarray_3, 0.144563, 2048, 549770476255
MSarray_4, 0.245505, 2048, 549770476255
base, 0.023105, 128, 549770476255
mono, 0.026663, 128, 549770476255
sliced, 0.036673, 128, 549770476255
SQ, 0.043695, 128, 549770476255
HAT, 0.034169, 128, 549770476255
MSarray_2, 0.047145, 128, 549770476255
MSarray_3, 0.046682, 128, 549770476255
MSarray_4, 0.051561, 128, 549770476255
base, 0.026303, 256, 549770476255
mono, 0.028662, 256, 549770476255
sliced, 0.040706, 256, 549770476255
SQ, 0.043231, 256, 549770476255
HAT, 0.035724, 256, 549770476255
