array_type,time,element_size
MSarray_3, 5.270071, 976
MSarray_4, 5.077882, 976
base, 4.285305, 992
mono, 4.398317, 992
sliced, 4.765664, 992
SQ, 4.667314, 992
HAT, 4.562467, 992
MSarray_2, 5.155838, 992
MSarray_3, 5.281498, 992
MSarray_4, 5.144375, 992
base, 4.427487, 1008
mono, 4.463429, 1008
sliced, 4.852310, 1008
SQ, 4.782253, 1008
HAT, 4.660394, 1008
MSarray_2, 5.130305, 1008
MSarray_3, 5.253091, 1008
MSarray_4, 5.130925, 1008
base, 4.361797, 1024
mono, 4.434896, 1024
sliced, 4.904755, 1024
SQ, 4.767950, 1024
HAT, 4.609117, 1024
MSarray_2, 5.334008, 1024
MSarray_3, 5.362293, 1024
MSarray_4, 5.284825, 1024
base, 4.563248, 1040
mono, 4.622886, 1040
sliced, 4.982167, 1040
SQ, 4.892577, 1040
HAT, 4.769461, 1040
MSarray_2, 5.206388, 1040
MSarray_3, 5.352012, 1040
MSarray_4, 5.258669, 1040
base, 4.584041, 1056
mono, 4.633884, 1056
sliced, 5.044756, 1056
SQ, 4.895484, 1056
HAT, 4.760738, 1056
MSarray_2, 5.220894, 1056
MSarray_3, 5.314263, 1056
MSarray_4, 5.252991, 1056
base, 4.669982, 1072
mono, 4.748908, 1072
sliced, 5.102292, 1072
SQ, 5.010258, 1072
HAT, 4.904362, 1072
MSarray_2, 5.328686, 1072
MSarray_3, 5.427214, 1072
MSarray_4, 5.360417, 1072
base, 4.717309, 1088
mono, 4.763955, 1088
sliced, 5.198119, 1088
SQ, 5.064524, 1088
HAT, 4.970798, 1088
MSarray_2, 5.391516, 1088
MSarray_3, 5.518365, 1088
MSarray_4, 5.409153, 1088
base, 4.793278, 1104
mono, 4.840570, 1104
sliced, 5.231457, 1104
SQ, 5.137258, 1104
HAT, 5.042151, 1104
MSarray_2, 5.455054, 1104
MSarray_3, 5.572632, 1104
MSarray_4, 5.487018, 1104
base, 4.767371, 1120
mono, 4.842907, 1120
sliced, 5.246349, 1120
SQ, 5.120807, 1120
HAT, 5.033388, 1120
MSarray_2, 5.460989, 1120
MSarray_3, 5.539488, 1120
MSarray_4, 5.485156, 1120
base, 4.896473, 1136
mono, 4.958822, 1136
sliced, 5.352857, 1136
SQ, 5.258111, 1136
HAT, 5.147031, 1136
MSarray_2, 5.533500, 1136
MSarray_3, 5.632029, 1136
MSarray_4, 5.590915, 1136
base, 4.917448, 1152
mono, 4.979279, 1152
sliced, 5.415574, 1152
SQ, 5.247666, 1152
HAT, 5.188860, 1152
MSarray_2, 5.661794, 1152
MSarray_3, 5.923936, 1152
MSarray_4, 5.697814, 1152
base, 5.007416, 1168
mono, 5.057465, 1168
sliced, 5.458325, 1168
SQ, 5.354837, 1168
HAT, 5.264527, 1168
MSarray_2, 5.639087, 1168
MSarray_3, 5.745284, 1168
MSarray_4, 5.688893, 1168
base, 5.022680, 1184
mono, 5.098567, 1184
sliced, 5.488431, 1184
SQ, 5.361908, 1184
HAT, 5.260124, 1184
MSarray_2, 5.640401, 1184
MSarray_3, 5.763109, 1184
MSarray_4, 5.690917, 1184
base, 5.112548, 1200
mono, 5.145590, 1200
sliced, 5.560117, 1200
SQ, 5.477118, 1200
HAT, 5.378789, 1200
MSarray_2, 5.733301, 1200
MSarray_3, 5.851021, 1200
MSarray_4, 5.792294, 1200
base, 5.143405, 1216
mono, 5.221688, 1216
sliced, 5.615996, 1216
SQ, 5.527339, 1216
HAT, 5.453587, 1216
MSarray_2, 5.831444, 1216
MSarray_3, 5.918480, 1216
MSarray_4, 5.897616, 1216
base, 5.238410, 1232
mono, 5.273410, 1232
sliced, 5.648237, 1232
SQ, 5.552662, 1232
HAT, 5.470582, 1232
MSarray_2, 5.833276, 1232
MSarray_3, 5.929612, 1232
MSarray_4, 5.892103, 1232
base, 5.241815, 1248
mono, 5.304525, 1248
sliced, 5.657541, 1248
SQ, 5.548629, 1248
HAT, 5.477894, 1248
MSarray_2, 5.897729, 1248
MSarray_3, 5.988675, 1248
MSarray_4, 5.893670, 1248
base, 5.346548, 1264
mono, 5.425554, 1264
sliced, 5.791463, 1264
SQ, 5.680904, 1264
HAT, 5.574491, 1264
MSarray_2, 5.926808, 1264
MSarray_3, 6.030230, 1264
MSarray_4, 5.960276, 1264
base, 5.352265, 1280
mono, 5.443756, 1280
sliced, 5.762715, 1280
SQ, 5.611344, 1280
HAT, 5.550094, 1280
MSarray_2, 5.925173, 1280
MSarray_3, 6.020401, 1280
MSarray_4, 5.926938, 1280
base, 5.431848, 1296
mono, 5.493491, 1296
sliced, 5.824720, 1296
SQ, 5.705822, 1296
HAT, 5.612021, 1296
MSarray_2, 5.968541, 1296
MSarray_3, 6.095705, 1296
MSarray_4, 6.011301, 1296
base, 5.439821, 1312
mono, 5.510993, 1312
sliced, 5.870903, 1312
SQ, 5.754583, 1312
HAT, 5.609667, 1312
MSarray_2, 6.000638, 1312
MSarray_3, 6.117256, 1312
MSarray_4, 6.055941, 1312
base, 5.527709, 1328
mono, 5.578921, 1328
sliced, 5.891167, 1328
SQ, 5.821125, 1328
HAT, 5.707177, 1328
MSarray_2, 6.043617, 1328
MSarray_3, 6.154203, 1328
MSarray_4, 6.105977, 1328
base, 5.564164, 1344
mono, 5.619728, 1344
sliced, 5.958042, 1344
SQ, 5.803112, 1344
HAT, 5.738443, 1344
MSarray_2, 6.093478, 1344
MSarray_3, 6.209165, 1344
MSarray_4, 6.150392, 1344
base, 5.607431, 1360
mono, 5.661385, 1360
sliced, 6.005690, 1360
SQ, 5.891228, 1360
HAT, 5.782183, 1360
MSarray_2, 6.114270, 1360
MSarray_3, 6.247099, 1360
MSarray_4, 6.199220, 1360
base, 5.612372, 1376
mono, 5.656371, 1376
sliced, 5.998547, 1376
SQ, 5.878435, 1376
HAT, 5.792952, 1376
MSarray_2, 6.158987, 1376
MSarray_3, 6.244811, 1376
MSarray_4, 6.221656, 1376
base, 5.713455, 1392
mono, 5.750404, 1392
sliced, 6.066216, 1392
SQ, 5.972104, 1392
HAT, 5.884921, 1392
MSarray_2, 6.220858, 1392
MSarray_3, 6.356220, 1392
MSarray_4, 6.246403, 1392
base, 5.720295, 1408
mono, 5.764184, 1408
sliced, 6.104225, 1408
SQ, 5.944085, 1408
HAT, 5.896253, 1408
MSarray_2, 6.263038, 1408
MSarray_3, 6.378958, 1408
MSarray_4, 6.288979, 1408
base, 5.783542, 1424
mono, 5.837441, 1424
sliced, 6.169892, 1424
SQ, 6.070131, 1424
HAT, 5.998071, 1424
MSarray_2, 6.416365, 1424
MSarray_3, 6.446431, 1424
MSarray_4, 6.373056, 1424
base, 5.801725, 1440
mono, 5.838690, 1440
sliced, 6.211476, 1440
SQ, 6.072277, 1440
HAT, 5.986661, 1440
MSarray_2, 6.328985, 1440
MSarray_3, 6.413478, 1440
MSarray_4, 6.369679, 1440
base, 5.882221, 1456
mono, 5.905925, 1456
sliced, 6.261402, 1456
SQ, 6.153266, 1456
HAT, 6.059447, 1456
MSarray_2, 6.359132, 1456
MSarray_3, 6.478363, 1456
MSarray_4, 6.439715, 1456
base, 5.939226, 1472
mono, 5.971817, 1472
sliced, 6.348316, 1472
SQ, 6.174004, 1472
HAT, 6.083276, 1472
MSarray_2, 6.439734, 1472
MSarray_3, 6.532605, 1472
MSarray_4, 6.493417, 1472
base, 5.969163, 1488
mono, 6.000823, 1488
sliced, 6.360692, 1488
SQ, 6.220259, 1488
HAT, 6.153694, 1488
MSarray_2, 6.464422, 1488
MSarray_3, 6.576266, 1488
MSarray_4, 6.514834, 1488
base, 5.979503, 1504
mono, 6.023156, 1504
sliced, 6.396245, 1504
SQ, 5.810844, 1504
HAT, 6.206308, 1504
MSarray_2, 6.526679, 1504
MSarray_3, 6.567562, 1504
MSarray_4, 6.527265, 1504
base, 6.101533, 1520
mono, 6.125733, 1520
sliced, 6.543216, 1520
SQ, 6.390512, 1520
HAT, 6.292014, 1520
MSarray_2, 6.592027, 1520
MSarray_3, 6.695976, 1520
MSarray_4, 6.685526, 1520
base, 6.137503, 1536
mono, 6.200341, 1536
sliced, 6.660007, 1536
SQ, 6.432690, 1536
HAT, 6.329057, 1536
MSarray_2, 6.569156, 1536
MSarray_3, 6.718140, 1536
MSarray_4, 6.646001, 1536
base, 6.270092, 1552
mono, 6.214361, 1552
sliced, 6.633879, 1552
SQ, 6.562053, 1552
HAT, 6.413208, 1552
MSarray_2, 6.699979, 1552
MSarray_3, 6.809103, 1552
MSarray_4, 6.747467, 1552
base, 6.295630, 1568
mono, 6.301329, 1568
sliced, 6.701247, 1568
SQ, 6.515544, 1568
HAT, 6.467734, 1568
MSarray_2, 6.804035, 1568
MSarray_3, 6.808096, 1568
MSarray_4, 6.775569, 1568
base, 6.296379, 1584
mono, 6.348205, 1584
sliced, 6.740137, 1584
SQ, 6.617853, 1584
HAT, 6.515271, 1584
MSarray_2, 6.835704, 1584
MSarray_3, 6.920349, 1584
MSarray_4, 6.934247, 1584
base, 6.349927, 1600
mono, 6.416911, 1600
sliced, 6.813824, 1600
SQ, 6.661758, 1600
HAT, 6.530561, 1600
MSarray_2, 6.880732, 1600
MSarray_3, 6.980386, 1600
MSarray_4, 6.933392, 1600
base, 6.435535, 1616
mono, 6.480405, 1616
sliced, 6.834656, 1616
SQ, 6.744994, 1616
HAT, 6.606391, 1616
MSarray_2, 6.913398, 1616
MSarray_3, 7.025428, 1616
MSarray_4, 6.999496, 1616
base, 6.430033, 1632
mono, 6.507432, 1632
sliced, 6.900999, 1632
SQ, 6.770593, 1632
HAT, 6.615771, 1632
MSarray_2, 6.912588, 1632
MSarray_3, 7.033831, 1632
MSarray_4, 7.008759, 1632
base, 6.515724, 1648
mono, 6.574017, 1648
sliced, 6.969433, 1648
SQ, 6.834533, 1648
HAT, 6.737420, 1648
MSarray_2, 6.996594, 1648
MSarray_3, 7.161695, 1648
MSarray_4, 7.850705, 1648
base, 6.502637, 1664
mono, 6.578198, 1664
sliced, 6.931321, 1664
SQ, 6.847245, 1664
HAT, 6.765866, 1664
MSarray_2, 7.058763, 1664
MSarray_3, 7.185501, 1664
MSarray_4, 7.735447, 1664
base, 6.609213, 1680
mono, 6.630555, 1680
sliced, 7.004972, 1680
SQ, 6.957769, 1680
HAT, 6.788876, 1680
MSarray_2, 7.118559, 1680
MSarray_3, 7.210760, 1680
MSarray_4, 7.164850, 1680
base, 6.635242, 1696
mono, 6.655031, 1696
sliced, 7.059854, 1696
SQ, 6.915882, 1696
HAT, 6.818882, 1696
MSarray_2, 7.163820, 1696
MSarray_3, 7.269319, 1696
MSarray_4, 7.162366, 1696
base, 6.684526, 1712
mono, 6.730858, 1712
sliced, 7.147920, 1712
SQ, 7.011793, 1712
HAT, 6.904897, 1712
MSarray_2, 7.230855, 1712
MSarray_3, 7.339725, 1712
MSarray_4, 7.274404, 1712
base, 6.768596, 1728
mono, 6.805039, 1728
sliced, 7.206167, 1728
SQ, 7.070755, 1728
HAT, 6.960377, 1728
MSarray_2, 7.256677, 1728
MSarray_3, 7.370543, 1728
MSarray_4, 7.314283, 1728
base, 6.780359, 1744
mono, 6.840239, 1744
sliced, 7.251231, 1744
SQ, 7.091598, 1744
HAT, 7.002104, 1744
MSarray_2, 7.317503, 1744
MSarray_3, 7.435201, 1744
MSarray_4, 7.373302, 1744
base, 6.829513, 1760
mono, 6.869278, 1760
sliced, 7.225333, 1760
SQ, 7.130951, 1760
HAT, 7.001622, 1760
MSarray_2, 7.320063, 1760
MSarray_3, 7.400649, 1760
MSarray_4, 7.398180, 1760
base, 6.862882, 1776
mono, 6.946763, 1776
sliced, 7.337602, 1776
SQ, 7.201539, 1776
HAT, 7.111935, 1776
MSarray_2, 7.379702, 1776
MSarray_3, 7.526728, 1776
MSarray_4, 7.484990, 1776
base, 6.899254, 1792
mono, 6.952368, 1792
sliced, 7.361861, 1792
SQ, 7.210789, 1792
HAT, 7.122010, 1792
MSarray_2, 7.413410, 1792
MSarray_3, 7.521391, 1792
MSarray_4, 7.473213, 1792
base, 6.960397, 1808
mono, 6.996707, 1808
sliced, 7.417624, 1808
SQ, 7.281535, 1808
HAT, 7.185629, 1808
MSarray_2, 7.487258, 1808
MSarray_3, 7.609238, 1808
MSarray_4, 7.577712, 1808
base, 6.994835, 1824
mono, 7.037382, 1824
sliced, 7.455991, 1824
SQ, 7.364358, 1824
HAT, 7.222473, 1824
MSarray_2, 7.490517, 1824
MSarray_3, 7.627463, 1824
MSarray_4, 7.588464, 1824
base, 7.089509, 1840
mono, 7.163991, 1840
sliced, 7.516412, 1840
SQ, 7.395249, 1840
HAT, 7.288887, 1840
MSarray_2, 7.616849, 1840
MSarray_3, 7.735030, 1840
MSarray_4, 7.728258, 1840
base, 7.145063, 1856
mono, 7.189465, 1856
sliced, 7.579818, 1856
SQ, 7.465123, 1856
HAT, 7.338919, 1856
MSarray_2, 7.639425, 1856
MSarray_3, 7.771989, 1856
MSarray_4, 7.789730, 1856
base, 7.178711, 1872
mono, 7.233344, 1872
sliced, 7.627874, 1872
SQ, 7.498007, 1872
HAT, 7.405842, 1872
MSarray_2, 7.701597, 1872
MSarray_3, 7.823797, 1872
MSarray_4, 7.842334, 1872
base, 7.202726, 1888
mono, 7.310800, 1888
sliced, 7.775985, 1888
SQ, 7.541888, 1888
HAT, 7.399809, 1888
MSarray_2, 7.699923, 1888
MSarray_3, 7.926899, 1888
MSarray_4, 8.039921, 1888
base, 7.273106, 1904
mono, 7.316611, 1904
sliced, 7.732843, 1904
SQ, 7.582087, 1904
HAT, 7.458329, 1904
MSarray_2, 7.775865, 1904
MSarray_3, 7.928920, 1904
MSarray_4, 8.067070, 1904
base, 7.282723, 1920
mono, 7.320220, 1920
sliced, 7.736918, 1920
SQ, 7.596003, 1920
HAT, 7.482188, 1920
MSarray_2, 7.774550, 1920
MSarray_3, 7.933534, 1920
MSarray_4, 8.061000, 1920
base, 7.353800, 1936
mono, 7.418342, 1936
sliced, 7.835792, 1936
SQ, 7.696227, 1936
HAT, 7.561308, 1936
MSarray_2, 7.886266, 1936
MSarray_3, 8.040784, 1936
MSarray_4, 8.239056, 1936
base, 7.380809, 1952
mono, 7.442289, 1952
sliced, 7.885783, 1952
SQ, 7.739720, 1952
HAT, 7.613674, 1952
MSarray_2, 7.903669, 1952
MSarray_3, 8.044063, 1952
MSarray_4, 8.297065, 1952
base, 7.438319, 1968
mono, 7.479979, 1968
sliced, 7.916949, 1968
