array_type,time,element_size,checksum
geo, 0.005078, 432, 549770476255
mono, 0.004808, 432, 549770476255
sliced, 0.011855, 432, 549770476255
SQ, 0.006133, 432, 549770476255
HAT, 0.041758, 432, 549770476255
MSarray_2, 0.100797, 432, 549770476255
MSarray_3, 0.080616, 432, 549770476255
MSarray_4, 0.206647, 432, 549770476255
geo, 0.004972, 448, 549770476255
mono, 0.006932, 448, 549770476255
sliced, 0.011789, 448, 549770476255
SQ, 0.005515, 448, 549770476255
HAT, 0.046843, 448, 549770476255
MSarray_2, 0.105259, 448, 549770476255
MSarray_3, 0.084751, 448, 549770476255
MSarray_4, 0.212469, 448, 549770476255
geo, 0.004892, 464, 549770476255
mono, 0.004200, 464, 549770476255
sliced, 0.012324, 464, 549770476255
SQ, 0.006828, 464, 549770476255
HAT, 0.046280, 464, 549770476255
MSarray_2, 0.107119, 464, 549770476255
MSarray_3, 0.087810, 464, 549770476255
MSarray_4, 0.205284, 464, 549770476255
geo, 0.004971, 480, 549770476255
mono, 0.004652, 480, 549770476255
sliced, 0.010652, 480, 549770476255
SQ, 0.005721, 480, 549770476255
HAT, 0.037942, 480, 549770476255
MSarray_2, 0.125888, 480, 549770476255
MSarray_3, 0.088222, 480, 549770476255
MSarray_4, 0.218273, 480, 549770476255
geo, 0.004780, 496, 549770476255
mono, 0.003818, 496, 549770476255
sliced, 0.012246, 496, 549770476255
SQ, 0.006655, 496, 549770476255
HAT, 0.047239, 496, 549770476255
MSarray_2, 0.113287, 496, 549770476255
MSarray_3, 0.089936, 496, 549770476255
MSarray_4, 0.230367, 496, 549770476255
geo, 0.004649, 512, 549770476255
mono, 0.004189, 512, 549770476255
sliced, 0.011881, 512, 549770476255
SQ, 0.007444, 512, 549770476255
HAT, 0.044368, 512, 549770476255
MSarray_2, 0.110726, 512, 549770476255
MSarray_3, 0.097216, 512, 549770476255
MSarray_4, 0.215049, 512, 549770476255
geo, 0.004432, 528, 549770476255
mono, 0.003804, 528, 549770476255
sliced, 0.011769, 528, 549770476255
SQ, 0.005857, 528, 549770476255
HAT, 0.052338, 528, 549770476255
