array_type,time,element_size
mono, 0.011357, 656
sliced, 0.013098, 656
SQ, 0.015848, 656
HAT, 0.013345, 656
MSarray_2, 0.013841, 656
MSarray_3, 0.024126, 656
MSarray_4, 0.032048, 656
base, 0.009554, 672
mono, 0.010569, 672
sliced, 0.012930, 672
SQ, 0.015296, 672
HAT, 0.013293, 672
MSarray_2, 0.013585, 672
MSarray_3, 0.023954, 672
MSarray_4, 0.036041, 672
base, 0.010159, 688
mono, 0.011915, 688
sliced, 0.014499, 688
SQ, 0.016240, 688
HAT, 0.014418, 688
MSarray_2, 0.012750, 688
MSarray_3, 0.023540, 688
MSarray_4, 0.029780, 688
base, 0.010411, 704
mono, 0.011551, 704
sliced, 0.013743, 704
SQ, 0.016314, 704
HAT, 0.013800, 704
MSarray_2, 0.013557, 704
MSarray_3, 0.025764, 704
MSarray_4, 0.034830, 704
base, 0.010990, 720
mono, 0.012424, 720
sliced, 0.014344, 720
SQ, 0.017043, 720
HAT, 0.014550, 720
MSarray_2, 0.013781, 720
MSarray_3, 0.025572, 720
MSarray_4, 0.036168, 720
base, 0.010815, 736
mono, 0.016835, 736
sliced, 0.014200, 736
SQ, 0.016501, 736
HAT, 0.014569, 736
MSarray_2, 0.013729, 736
MSarray_3, 0.025900, 736
MSarray_4, 0.036023, 736
base, 0.011678, 752
mono, 0.013172, 752
sliced, 0.014624, 752
SQ, 0.017213, 752
HAT, 0.014836, 752
MSarray_2, 0.013811, 752
MSarray_3, 0.026606, 752
MSarray_4, 0.038523, 752
base, 0.011688, 768
mono, 0.013020, 768
sliced, 0.015208, 768
SQ, 0.017427, 768
HAT, 0.015063, 768
MSarray_2, 0.013382, 768
MSarray_3, 0.027190, 768
MSarray_4, 0.037601, 768
base, 0.012334, 784
mono, 0.013625, 784
sliced, 0.015613, 784
SQ, 0.018226, 784
HAT, 0.015986, 784
MSarray_2, 0.012594, 784
MSarray_3, 0.027850, 784
MSarray_4, 0.041921, 784
base, 0.012791, 800
mono, 0.015140, 800
sliced, 0.015740, 800
SQ, 0.018836, 800
HAT, 0.016533, 800
MSarray_2, 0.013628, 800
MSarray_3, 0.028182, 800
MSarray_4, 0.042571, 800
base, 0.013024, 816
mono, 0.014672, 816
sliced, 0.016468, 816
SQ, 0.018782, 816
HAT, 0.016097, 816
MSarray_2, 0.013249, 816
MSarray_3, 0.027959, 816
MSarray_4, 0.039494, 816
base, 0.012998, 832
mono, 0.014281, 832
sliced, 0.016152, 832
SQ, 0.019215, 832
HAT, 0.016755, 832
MSarray_2, 0.013586, 832
MSarray_3, 0.028815, 832
MSarray_4, 0.043037, 832
base, 0.013584, 848
mono, 0.014803, 848
sliced, 0.016904, 848
SQ, 0.019564, 848
HAT, 0.017356, 848
MSarray_2, 0.013906, 848
MSarray_3, 0.029320, 848
MSarray_4, 0.043247, 848
base, 0.012606, 864
mono, 0.014746, 864
sliced, 0.016480, 864
SQ, 0.019987, 864
HAT, 0.016868, 864
MSarray_2, 0.013582, 864
