array_type,time,element_size
SQ, 0.053763, 960
HAT, 0.056566, 960
MSarray_2, 0.047465, 960
MSarray_3, 0.079925, 960
MSarray_4, 0.091776, 960
base, 0.053502, 976
mono, 0.055855, 976
sliced, 0.055783, 976
SQ, 0.057057, 976
HAT, 0.057894, 976
MSarray_2, 0.047616, 976
MSarray_3, 0.081769, 976
MSarray_4, 0.094408, 976
base, 0.054325, 992
mono, 0.055457, 992
sliced, 0.056550, 992
SQ, 0.056504, 992
HAT, 0.057225, 992
MSarray_2, 0.049308, 992
MSarray_3, 0.084511, 992
MSarray_4, 0.094777, 992
base, 0.055362, 1008
mono, 0.056551, 1008
sliced, 0.057614, 1008
SQ, 0.058383, 1008
HAT, 0.059894, 1008
MSarray_2, 0.050570, 1008
MSarray_3, 0.084763, 1008
MSarray_4, 0.096525, 1008
base, 0.055037, 1024
mono, 0.055202, 1024
sliced, 0.057057, 1024
SQ, 0.056421, 1024
HAT, 0.058350, 1024
MSarray_2, 0.049009, 1024
MSarray_3, 0.077884, 1024
MSarray_4, 0.094748, 1024
base, 0.058256, 1040
mono, 0.059018, 1040
sliced, 0.060650, 1040
SQ, 0.061455, 1040
HAT, 0.062837, 1040
MSarray_2, 0.052577, 1040
MSarray_3, 0.081826, 1040
MSarray_4, 0.101961, 1040
base, 0.065392, 1056
mono, 0.059949, 1056
sliced, 0.061331, 1056
SQ, 0.061673, 1056
HAT, 0.062134, 1056
MSarray_2, 0.052694, 1056
MSarray_3, 0.083577, 1056
MSarray_4, 0.107361, 1056
base, 0.060669, 1072
mono, 0.061490, 1072
sliced, 0.063403, 1072
SQ, 0.063735, 1072
HAT, 0.064574, 1072
MSarray_2, 0.052289, 1072
MSarray_3, 0.084985, 1072
MSarray_4, 0.108184, 1072
base, 0.061001, 1088
mono, 0.062087, 1088
sliced, 0.063757, 1088
SQ, 0.063065, 1088
HAT, 0.064369, 1088
MSarray_2, 0.053675, 1088
MSarray_3, 0.085255, 1088
MSarray_4, 0.108852, 1088
base, 0.063505, 1104
mono, 0.063419, 1104
sliced, 0.064694, 1104
SQ, 0.065689, 1104
HAT, 0.066824, 1104
MSarray_2, 0.055087, 1104
MSarray_3, 0.086513, 1104
MSarray_4, 0.106912, 1104
base, 0.064091, 1120
