array_type,time,element_size
mono, 0.137384, 736
sliced, 0.141269, 736
SQ, 0.136565, 736
HAT, 0.152154, 736
MSarray_2, 0.190012, 736
MSarray_3, 0.230505, 736
MSarray_4, 0.321083, 736
geo, 0.142260, 736
base, 0.103135, 752
mono, 0.140250, 752
sliced, 0.148130, 752
SQ, 0.143644, 752
HAT, 0.154842, 752
MSarray_2, 0.195102, 752
MSarray_3, 0.227909, 752
MSarray_4, 0.317643, 752
geo, 0.142684, 752
base, 0.100563, 768
mono, 0.144034, 768
sliced, 0.145533, 768
SQ, 0.143387, 768
HAT, 0.157046, 768
MSarray_2, 0.196791, 768
MSarray_3, 0.188162, 768
MSarray_4, 0.352017, 768
geo, 0.141430, 768
base, 0.106906, 784
mono, 0.145209, 784
sliced, 0.152342, 784
SQ, 0.147714, 784
HAT, 0.164638, 784
MSarray_2, 0.204807, 784
MSarray_3, 0.247262, 784
MSarray_4, 0.350837, 784
geo, 0.147002, 784
base, 0.102847, 800
mono, 0.136718, 800
sliced, 0.150270, 800
SQ, 0.139167, 800
HAT, 0.160941, 800
MSarray_2, 0.205001, 800
MSarray_3, 0.193503, 800
MSarray_4, 0.357167, 800
geo, 0.149775, 800
base, 0.112776, 816
mono, 0.148179, 816
sliced, 0.157782, 816
SQ, 0.151762, 816
HAT, 0.164584, 816
MSarray_2, 0.211147, 816
MSarray_3, 0.216338, 816
MSarray_4, 0.366747, 816
geo, 0.149425, 816
base, 0.109039, 832
mono, 0.150893, 832
sliced, 0.157056, 832
SQ, 0.153099, 832
HAT, 0.167427, 832
MSarray_2, 0.214559, 832
MSarray_3, 0.263891, 832
MSarray_4, 0.360077, 832
geo, 0.154976, 832
base, 0.117561, 848
mono, 0.160103, 848
sliced, 0.163797, 848
SQ, 0.155166, 848
HAT, 0.176636, 848
MSarray_2, 0.222487, 848
MSarray_3, 0.223347, 848
MSarray_4, 0.367933, 848
geo, 0.158897, 848
base, 0.107591, 864
mono, 0.157428, 864
sliced, 0.163040, 864
SQ, 0.159578, 864
HAT, 0.174787, 864
MSarray_2, 0.220388, 864
MSarray_3, 0.219175, 864
MSarray_4, 0.378214, 864
geo, 0.159486, 864
base, 0.112544, 880
mono, 0.161512, 880
sliced, 0.148045, 880
SQ, 0.163421, 880
HAT, 0.180089, 880
MSarray_2, 0.226909, 880
MSarray_3, 0.220571, 880
MSarray_4, 0.371158, 880
geo, 0.164088, 880
base, 0.112242, 896
mono, 0.148376, 896
sliced, 0.169759, 896
SQ, 0.165525, 896
HAT, 0.181010, 896
MSarray_2, 0.229042, 896
MSarray_3, 0.225830, 896
MSarray_4, 0.399050, 896
geo, 0.165695, 896
base, 0.104652, 912
mono, 0.168511, 912
sliced, 0.173844, 912
SQ, 0.168467, 912
HAT, 0.185282, 912
MSarray_2, 0.233840, 912
MSarray_3, 0.284762, 912
MSarray_4, 0.387755, 912
geo, 0.170098, 912
base, 0.116654, 928
mono, 0.170221, 928
sliced, 0.172591, 928
SQ, 0.173564, 928
HAT, 0.187890, 928
MSarray_2, 0.236980, 928
MSarray_3, 0.254497, 928
MSarray_4, 0.399869, 928
geo, 0.169138, 928
base, 0.119507, 944
mono, 0.173948, 944
sliced, 0.179320, 944
SQ, 0.173720, 944
HAT, 0.192628, 944
MSarray_2, 0.240203, 944
MSarray_3, 0.255764, 944
MSarray_4, 0.432023, 944
geo, 0.169703, 944
base, 0.121340, 960
mono, 0.178132, 960
sliced, 0.178109, 960
SQ, 0.171675, 960
HAT, 0.192723, 960
MSarray_2, 0.243942, 960
