array_type,time,element_size,checksum
MSarray_2, 0.044370, 592, 549770476255
MSarray_3, 0.061729, 592, 549770476255
MSarray_4, 0.077508, 592, 549770476255
geo, 0.115223, 608, 549770476255
mono, 0.113631, 608, 549770476255
sliced, 0.111470, 608, 549770476255
SQ, 0.114514, 608, 549770476255
HAT, 0.082353, 608, 549770476255
MSarray_2, 0.049356, 608, 549770476255
MSarray_3, 0.061981, 608, 549770476255
MSarray_4, 0.080063, 608, 549770476255
geo, 0.098844, 624, 549770476255
mono, 0.119351, 624, 549770476255
sliced, 0.118659, 624, 549770476255
SQ, 0.117353, 624, 549770476255
HAT, 0.087139, 624, 549770476255
MSarray_2, 0.046022, 624, 549770476255
MSarray_3, 0.064214, 624, 549770476255
MSarray_4, 0.081551, 624, 549770476255
geo, 0.116132, 640, 549770476255
mono, 0.115544, 640, 549770476255
sliced, 0.119435, 640, 549770476255
SQ, 0.120590, 640, 549770476255
HAT, 0.092206, 640, 549770476255
MSarray_2, 0.052633, 640, 549770476255
MSarray_3, 0.064975, 640, 549770476255
MSarray_4, 0.085465, 640, 549770476255
geo, 0.124465, 656, 549770476255
mono, 0.125082, 656, 549770476255
sliced, 0.122121, 656, 549770476255
SQ, 0.124288, 656, 549770476255
HAT, 0.090358, 656, 549770476255
MSarray_2, 0.047643, 656, 549770476255
MSarray_3, 0.066565, 656, 549770476255
MSarray_4, 0.084393, 656, 549770476255
geo, 0.125243, 672, 549770476255
mono, 0.124512, 672, 549770476255
sliced, 0.117933, 672, 549770476255
SQ, 0.125572, 672, 549770476255
HAT, 0.091138, 672, 549770476255
MSarray_2, 0.053903, 672, 549770476255
MSarray_3, 0.067054, 672, 549770476255
MSarray_4, 0.085174, 672, 549770476255
geo, 0.129790, 688, 549770476255
mono, 0.130924, 688, 549770476255
sliced, 0.125149, 688, 549770476255
SQ, 0.122131, 688, 549770476255
HAT, 0.101610, 688, 549770476255
MSarray_2, 0.051724, 688, 549770476255
MSarray_3, 0.069521, 688, 549770476255
MSarray_4, 0.087851, 688, 549770476255
geo, 0.130050, 704, 549770476255
mono, 0.128987, 704, 549770476255
sliced, 0.127277, 704, 549770476255
SQ, 0.109847, 704, 549770476255
HAT, 0.101947, 704, 549770476255
MSarray_2, 0.056434, 704, 549770476255
MSarray_3, 0.070354, 704, 549770476255
MSarray_4, 0.090671, 704, 549770476255
geo, 0.129301, 720, 549770476255
mono, 0.127201, 720, 549770476255
sliced, 0.131254, 720, 549770476255
SQ, 0.134716, 720, 549770476255
HAT, 0.096652, 720, 549770476255
MSarray_2, 0.049230, 720, 549770476255
MSarray_3, 0.071439, 720, 549770476255
MSarray_4, 0.091188, 720, 549770476255
geo, 0.132952, 736, 549770476255
mono, 0.135432, 736, 549770476255
sliced, 0.131243, 736, 549770476255
SQ, 0.135378, 736, 549770476255
HAT, 0.099518, 736, 549770476255
MSarray_2, 0.059721, 736, 549770476255
MSarray_3, 0.073307, 736, 549770476255
MSarray_4, 0.094538, 736, 549770476255
geo, 0.138343, 752, 549770476255
mono, 0.138446, 752, 549770476255
sliced, 0.139893, 752, 549770476255
SQ, 0.137119, 752, 549770476255
HAT, 0.107464, 752, 549770476255
MSarray_2, 0.053559, 752, 549770476255
MSarray_3, 0.074678, 752, 549770476255
MSarray_4, 0.095500, 752, 549770476255
geo, 0.140103, 768, 549770476255
mono, 0.138985, 768, 549770476255
sliced, 0.138636, 768, 549770476255
SQ, 0.140406, 768, 549770476255
HAT, 0.103394, 768, 549770476255
MSarray_2, 0.061262, 768, 549770476255
MSarray_3, 0.076679, 768, 549770476255
MSarray_4, 0.097405, 768, 549770476255
geo, 0.142552, 784, 549770476255
mono, 0.142537, 784, 549770476255
sliced, 0.142056, 784, 549770476255
SQ, 0.143729, 784, 549770476255
HAT, 0.105818, 784, 549770476255
MSarray_2, 0.052975, 784, 549770476255
MSarray_3, 0.076601, 784, 549770476255
MSarray_4, 0.098455, 784, 549770476255
geo, 0.143842, 800, 549770476255
mono, 0.145444, 800, 549770476255
sliced, 0.146445, 800, 549770476255
SQ, 0.146739, 800, 549770476255
HAT, 0.113734, 800, 549770476255
MSarray_2, 0.063241, 800, 549770476255
MSarray_3, 0.079100, 800, 549770476255
MSarray_4, 0.101673, 800, 549770476255
geo, 0.149903, 816, 549770476255
mono, 0.149766, 816, 549770476255
sliced, 0.147291, 816, 549770476255
SQ, 0.146407, 816, 549770476255
HAT, 0.114644, 816, 549770476255
MSarray_2, 0.055640, 816, 549770476255
MSarray_3, 0.079469, 816, 549770476255
MSarray_4, 0.102354, 816, 549770476255
geo, 0.153320, 832, 549770476255
mono, 0.155271, 832, 549770476255
sliced, 0.147127, 832, 549770476255
SQ, 0.150841, 832, 549770476255
HAT, 0.113818, 832, 549770476255
MSarray_2, 0.062591, 832, 549770476255
MSarray_3, 0.081347, 832, 549770476255
MSarray_4, 0.103424, 832, 549770476255
geo, 0.153515, 848, 549770476255
mono, 0.153018, 848, 549770476255
sliced, 0.149395, 848, 549770476255
SQ, 0.148592, 848, 549770476255
HAT, 0.112278, 848, 549770476255
MSarray_2, 0.056939, 848, 549770476255
MSarray_3, 0.082660, 848, 549770476255
MSarray_4, 0.112021, 848, 549770476255
geo, 0.150567, 864, 549770476255
mono, 0.153140, 864, 549770476255
sliced, 0.148380, 864, 549770476255
SQ, 0.149390, 864, 549770476255
HAT, 0.109593, 864, 549770476255
MSarray_2, 0.064494, 864, 549770476255
MSarray_3, 0.084308, 864, 549770476255
MSarray_4, 0.115843, 864, 549770476255
geo, 0.150011, 880, 549770476255
mono, 0.152415, 880, 549770476255
sliced, 0.157130, 880, 549770476255
SQ, 0.159739, 880, 549770476255
HAT, 0.125846, 880, 549770476255
MSarray_2, 0.059976, 880, 549770476255
MSarray_3, 0.085437, 880, 549770476255
MSarray_4, 0.109396, 880, 549770476255
geo, 0.158604, 896, 549770476255
mono, 0.161646, 896, 549770476255
sliced, 0.160950, 896, 549770476255
SQ, 0.160142, 896, 549770476255
HAT, 0.127803, 896, 549770476255
MSarray_2, 0.059717, 896, 549770476255
MSarray_3, 0.085420, 896, 549770476255
MSarray_4, 0.113760, 896, 549770476255
geo, 0.163831, 912, 549770476255
mono, 0.166920, 912, 549770476255
sliced, 0.166369, 912, 549770476255
SQ, 0.158190, 912, 549770476255
HAT, 0.119407, 912, 549770476255
MSarray_2, 0.057557, 912, 549770476255
MSarray_3, 0.088821, 912, 549770476255
MSarray_4, 0.113124, 912, 549770476255
geo, 0.165570, 928, 549770476255
mono, 0.166242, 928, 549770476255
sliced, 0.148969, 928, 549770476255
SQ, 0.167398, 928, 549770476255
HAT, 0.118212, 928, 549770476255
MSarray_2, 0.064226, 928, 549770476255
MSarray_3, 0.087472, 928, 549770476255
MSarray_4, 0.114616, 928, 549770476255
geo, 0.168436, 944, 549770476255
mono, 0.167442, 944, 549770476255
sliced, 0.169306, 944, 549770476255
SQ, 0.171588, 944, 549770476255
HAT, 0.138407, 944, 549770476255
MSarray_2, 0.062593, 944, 549770476255
MSarray_3, 0.089466, 944, 549770476255
MSarray_4, 0.116421, 944, 549770476255
geo, 0.161163, 960, 549770476255
mono, 0.177638, 960, 549770476255
sliced, 0.167546, 960, 549770476255
SQ, 0.171907, 960, 549770476255
HAT, 0.134302, 960, 549770476255
MSarray_2, 0.069809, 960, 549770476255
MSarray_3, 0.090415, 960, 549770476255
MSarray_4, 0.118553, 960, 549770476255
geo, 0.174752, 976, 549770476255
mono, 0.174097, 976, 549770476255
sliced, 0.174824, 976, 549770476255
SQ, 0.173547, 976, 549770476255
HAT, 0.136258, 976, 549770476255
MSarray_2, 0.057265, 976, 549770476255
MSarray_3, 0.092151, 976, 549770476255
MSarray_4, 0.120760, 976, 549770476255
geo, 0.175468, 992, 549770476255
mono, 0.179282, 992, 549770476255
sliced, 0.174642, 992, 549770476255
SQ, 0.174730, 992, 549770476255
HAT, 0.133545, 992, 549770476255
MSarray_2, 0.072184, 992, 549770476255
MSarray_3, 0.091932, 992, 549770476255
MSarray_4, 0.128574, 992, 549770476255
geo, 0.171610, 1008, 549770476255
mono, 0.179327, 1008, 549770476255
sliced, 0.175378, 1008, 549770476255
SQ, 0.180174, 1008, 549770476255
HAT, 0.144782, 1008, 549770476255
MSarray_2, 0.059864, 1008, 549770476255
MSarray_3, 0.100372, 1008, 549770476255
MSarray_4, 0.124435, 1008, 549770476255
geo, 0.181613, 1024, 549770476255
mono, 0.175384, 1024, 549770476255
sliced, 0.179092, 1024, 549770476255
SQ, 0.178388, 1024, 549770476255
HAT, 0.132686, 1024, 549770476255
MSarray_2, 0.067122, 1024, 549770476255
MSarray_3, 0.094024, 1024, 549770476255
MSarray_4, 0.126172, 1024, 549770476255
geo, 0.185700, 1040, 549770476255
mono, 0.182738, 1040, 549770476255
sliced, 0.180442, 1040, 549770476255
SQ, 0.185279, 1040, 549770476255
HAT, 0.139748, 1040, 549770476255
MSarray_2, 0.061292, 1040, 549770476255
MSarray_3, 0.100007, 1040, 549770476255
MSarray_4, 0.138961, 1040, 549770476255
geo, 0.182772, 1056, 549770476255
mono, 0.182731, 1056, 549770476255
sliced, 0.182742, 1056, 549770476255
SQ, 0.185248, 1056, 549770476255
HAT, 0.134018, 1056, 549770476255
MSarray_2, 0.062588, 1056, 549770476255
MSarray_3, 0.101035, 1056, 549770476255
MSarray_4, 0.132668, 1056, 549770476255
geo, 0.186386, 1072, 549770476255
mono, 0.185868, 1072, 549770476255
sliced, 0.185681, 1072, 549770476255
SQ, 0.180417, 1072, 549770476255
HAT, 0.149931, 1072, 549770476255
MSarray_2, 0.064183, 1072, 549770476255
MSarray_3, 0.102150, 1072, 549770476255
MSarray_4, 0.134212, 1072, 549770476255
geo, 0.186907, 1088, 549770476255
mono, 0.189260, 1088, 549770476255
sliced, 0.179614, 1088, 549770476255
SQ, 0.189824, 1088, 549770476255
HAT, 0.148319, 1088, 549770476255
MSarray_2, 0.062030, 1088, 549770476255
MSarray_3, 0.101686, 1088, 549770476255
MSarray_4, 0.135681, 1088, 549770476255
geo, 0.191097, 1104, 549770476255
mono, 0.175074, 1104, 549770476255
sliced, 0.194360, 1104, 549770476255
SQ, 0.194978, 1104, 549770476255
HAT, 0.143639, 1104, 549770476255
MSarray_2, 0.062008, 1104, 549770476255
MSarray_3, 0.105018, 1104, 549770476255
MSarray_4, 0.141486, 1104, 549770476255
geo, 0.194942, 1120, 549770476255
mono, 0.196937, 1120, 549770476255
sliced, 0.194175, 1120, 549770476255
SQ, 0.196605, 1120, 549770476255
HAT, 0.146200, 1120, 549770476255
MSarray_2, 0.068883, 1120, 549770476255
MSarray_3, 0.104721, 1120, 549770476255
MSarray_4, 0.140339, 1120, 549770476255
geo, 0.199897, 1136, 549770476255
mono, 0.203202, 1136, 549770476255
sliced, 0.198422, 1136, 549770476255
SQ, 0.199337, 1136, 549770476255
HAT, 0.162264, 1136, 549770476255
MSarray_2, 0.064111, 1136, 549770476255
MSarray_3, 0.107222, 1136, 549770476255
MSarray_4, 0.144632, 1136, 549770476255
geo, 0.204603, 1152, 549770476255
mono, 0.200247, 1152, 549770476255
sliced, 0.198728, 1152, 549770476255
SQ, 0.201825, 1152, 549770476255
HAT, 0.164356, 1152, 549770476255
MSarray_2, 0.069207, 1152, 549770476255
MSarray_3, 0.105707, 1152, 549770476255
MSarray_4, 0.141562, 1152, 549770476255
geo, 0.206072, 1168, 549770476255
mono, 0.205654, 1168, 549770476255
sliced, 0.202872, 1168, 549770476255
SQ, 0.205743, 1168, 549770476255
HAT, 0.153740, 1168, 549770476255
MSarray_2, 0.066903, 1168, 549770476255
MSarray_3, 0.114315, 1168, 549770476255
MSarray_4, 0.149799, 1168, 549770476255
geo, 0.206572, 1184, 549770476255
mono, 0.203890, 1184, 549770476255
sliced, 0.205360, 1184, 549770476255
SQ, 0.207066, 1184, 549770476255
HAT, 0.163724, 1184, 549770476255
MSarray_2, 0.073545, 1184, 549770476255
MSarray_3, 0.112227, 1184, 549770476255
MSarray_4, 0.151126, 1184, 549770476255
geo, 0.213922, 1200, 549770476255
mono, 0.211576, 1200, 549770476255
sliced, 0.201387, 1200, 549770476255
SQ, 0.211061, 1200, 549770476255
HAT, 0.162880, 1200, 549770476255
MSarray_2, 0.066641, 1200, 549770476255
MSarray_3, 0.111829, 1200, 549770476255
MSarray_4, 0.151132, 1200, 549770476255
geo, 0.211924, 1216, 549770476255
mono, 0.209384, 1216, 549770476255
sliced, 0.205710, 1216, 549770476255
SQ, 0.208622, 1216, 549770476255
HAT, 0.162644, 1216, 549770476255
MSarray_2, 0.070966, 1216, 549770476255
MSarray_3, 0.115550, 1216, 549770476255
MSarray_4, 0.153669, 1216, 549770476255
geo, 0.217200, 1232, 549770476255
mono, 0.218726, 1232, 549770476255
sliced, 0.215867, 1232, 549770476255
SQ, 0.212958, 1232, 549770476255
HAT, 0.169806, 1232, 549770476255
MSarray_2, 0.069005, 1232, 549770476255
MSarray_3, 0.127669, 1232, 549770476255
MSarray_4, 0.149317, 1232, 549770476255
geo, 0.224793, 1248, 549770476255
mono, 0.217957, 1248, 549770476255
sliced, 0.217336, 1248, 549770476255
SQ, 0.216503, 1248, 549770476255
HAT, 0.174899, 1248, 549770476255
MSarray_2, 0.070902, 1248, 549770476255
MSarray_3, 0.116473, 1248, 549770476255
MSarray_4, 0.154066, 1248, 549770476255
geo, 0.218514, 1264, 549770476255
mono, 0.223283, 1264, 549770476255
sliced, 0.220129, 1264, 549770476255
SQ, 0.217589, 1264, 549770476255
HAT, 0.174059, 1264, 549770476255
MSarray_2, 0.069503, 1264, 549770476255
MSarray_3, 0.116989, 1264, 549770476255
MSarray_4, 0.161527, 1264, 549770476255
geo, 0.225677, 1280, 549770476255
mono, 0.222889, 1280, 549770476255
sliced, 0.204446, 1280, 549770476255
SQ, 0.220878, 1280, 549770476255
HAT, 0.173991, 1280, 549770476255
MSarray_2, 0.069179, 1280, 549770476255
MSarray_3, 0.115412, 1280, 549770476255
MSarray_4, 0.159538, 1280, 549770476255
geo, 0.225404, 1296, 549770476255
mono, 0.223042, 1296, 549770476255
sliced, 0.208123, 1296, 549770476255
SQ, 0.213948, 1296, 549770476255
HAT, 0.180370, 1296, 549770476255
MSarray_2, 0.070388, 1296, 549770476255
MSarray_3, 0.119500, 1296, 549770476255
MSarray_4, 0.167102, 1296, 549770476255
geo, 0.217635, 1312, 549770476255
mono, 0.232580, 1312, 549770476255
sliced, 0.228506, 1312, 549770476255
SQ, 0.230643, 1312, 549770476255
HAT, 0.180303, 1312, 549770476255
MSarray_2, 0.073151, 1312, 549770476255
MSarray_3, 0.120295, 1312, 549770476255
MSarray_4, 0.162228, 1312, 549770476255
geo, 0.233902, 1328, 549770476255
mono, 0.231291, 1328, 549770476255
sliced, 0.231537, 1328, 549770476255
SQ, 0.233469, 1328, 549770476255
HAT, 0.188379, 1328, 549770476255
MSarray_2, 0.072341, 1328, 549770476255
MSarray_3, 0.127660, 1328, 549770476255
MSarray_4, 0.168574, 1328, 549770476255
geo, 0.233702, 1344, 549770476255
mono, 0.233120, 1344, 549770476255
sliced, 0.231522, 1344, 549770476255
SQ, 0.236902, 1344, 549770476255
HAT, 0.189504, 1344, 549770476255
MSarray_2, 0.072139, 1344, 549770476255
MSarray_3, 0.126099, 1344, 549770476255
MSarray_4, 0.167262, 1344, 549770476255
geo, 0.236647, 1360, 549770476255
mono, 0.237113, 1360, 549770476255
sliced, 0.234976, 1360, 549770476255
SQ, 0.231461, 1360, 549770476255
HAT, 0.189586, 1360, 549770476255
MSarray_2, 0.072864, 1360, 549770476255
MSarray_3, 0.123671, 1360, 549770476255
MSarray_4, 0.169346, 1360, 549770476255
geo, 0.238141, 1376, 549770476255
mono, 0.238304, 1376, 549770476255
sliced, 0.241520, 1376, 549770476255
SQ, 0.238547, 1376, 549770476255
HAT, 0.188607, 1376, 549770476255
MSarray_2, 0.073577, 1376, 549770476255
MSarray_3, 0.124750, 1376, 549770476255
MSarray_4, 0.171481, 1376, 549770476255
geo, 0.248360, 1392, 549770476255
mono, 0.244014, 1392, 549770476255
sliced, 0.239979, 1392, 549770476255
SQ, 0.244235, 1392, 549770476255
